Base,Calling code
Almirante Brown Antarctic Base,54
Amundsen–Scott South Pole Station,1
Artigas Base,598
Asuka Station,81
Base Presidente Eduardo Frei Montalva and Villa Las Estrellas,56
Belgrano II,54
Bellingshausen Station,7
Bernardo O'Higgins Station,56
Byrd Station,1
Captain Arturo Prat Base,56
Casey Station,672
Comandante Ferraz Brazilian Antarctic Base,55
Concordia Station,39 33
Davis Station,672
Dome Fuji Station,81
Dumont d'Urville Station,33
Esperanza Base,54
Gabriel de Castilla Spanish Antarctic Station,34
Georg von Neumayer Station (replaced by Neumayer Station III),49
Gonzalez Videla Station,56
Great Wall Station,86
Halley Research Station,44
Henryk Arctowski Polish Antarctic Station,48
Jang Bogo Station,82
Jinnah Antarctic Station,92
Juan Carlos I Base,34
Jubany,54
King Sejong Station,82
Kohnen-Station,49
Kunlun Station,852
Law-Racoviță-Negoiță Station,40
Leningradskaya Station,7
Machu Picchu Research Station,51
Macquarie Island Station,672
Maitri Station,91
Marambio Base,54
Mario Zucchelli Station,39
Mawson Station,672
McMurdo Station,1-720-568 64-240-9
Mendel Polar Station,420
Mirny Station,7
Mizuho Station,81
Molodyozhnaya Station,7 375
Neumayer Station III,49
Novolazarevskaya Station,7
Orcadas Base,54
Palmer Station,1
Princess Elisabeth Base,32
Professor Julio Escudero Base,56
Progress Station,7
Rothera Research Station,44
Russkaya Station,7
San Martín Base,54
SANAE IV (South African National Antarctic Expeditions),27
Scott Base,64-240-9
Showa Station,81
Signy Research Station,44
St. Kliment Ohridski Base,359
Svea,46
Tor Station,47
Troll Station,47
Vernadsky Research Base,380
Vostok Station,7
Wasa Research Station,46
Zhongshan Station,86
